,y,Value
227,y228,0.0008907316146849799
228,y229,0.0007166986713054632
229,y230,0.0011303632420931891
230,y231,0.0009767927754193624
231,y232,0.0006104460819560973
232,y233,0.0007111680192044029
233,y234,0.0005603822799845004
234,y235,0.0004866124409499624
235,y236,0.0005438946857211428
236,y237,0.0004722743547186777
237,y238,0.0006561141584214599
238,y239,0.0005068851025981451
239,y240,0.0004197263022026615
240,y241,0.0006863482871902462
241,y242,0.00040654422893858413
242,y243,0.00043441304021962627
243,y244,0.0003656668432727507
244,y245,0.0003050609101852117
245,y246,0.00043476955910968146
246,y247,0.00040096189042009207
247,y248,0.0004715764404052894
248,y249,0.0004011739752367559
249,y250,0.0004592809915087533
250,y251,0.0003884973948560123
251,y252,0.0005511802990222622
252,y253,0.0006164683209473633
253,y254,0.000307630246018242
254,y255,0.0003521339921426398
255,y256,0.0003091047882067966
256,y257,0.0020774911761863666
257,y258,0.0022436100003731933
258,y259,0.0021635311282825393
259,y260,0.0018628273110533283
260,y261,0.0018065294737936285
261,y262,0.0016255721632609998
262,y263,0.0019997528562025833
263,y264,0.0019257680134970906
264,y265,0.0018319288649686738
265,y266,0.002665259115486114
266,y267,0.0028012824228687188
267,y268,0.002083583228996165
268,y269,0.0020257422687830944
269,y270,0.0020164845987461293
270,y271,0.002324906782205012
271,y272,0.002637567200686809
272,y273,0.002475337875598124
273,y274,0.0025687951453285066
274,y275,0.0026859619321329886
275,y276,0.0026842359885031653
276,y277,0.003289806117838231
277,y278,0.002726171035461544
278,y279,0.002544319862307659
279,y280,0.0027783180293455855
280,y281,0.0030989684640518166
281,y282,0.0025556010607356546
282,y283,0.002880131307992659
283,y284,0.0037436960225890347
284,y285,0.004007770741945463
285,y286,0.002648973313981082
286,y287,0.0018982051040434516
287,y288,0.0018917940086793095
288,y289,0.002289653435900549
289,y290,0.0014016701836024156
290,y291,0.0012243032657668052
291,y292,0.0014996664646839408
292,y293,0.001856240612921021
293,y294,0.001488649865033706
294,y295,0.001657531550716057
295,y296,0.0010320983379685977
296,y297,0.0008320161435426384
297,y298,0.0008065111495826452
298,y299,0.0007285674751143972
299,y300,0.0005635517883030003
300,y301,0.0010507249049848848
301,y302,0.0006998320054866712
302,y303,0.0007566185564391073
303,y304,0.000518395171206666
304,y305,0.0005503724802444431
305,y306,0.000578575238522703
306,y307,0.0006009949207393007
307,y308,0.0006129688282840835
308,y309,0.0005236827898606019
309,y310,0.00047470384176731854
310,y311,0.0005689641534095458
311,y312,0.00035434131136511017
312,y313,0.0003805322262600999
313,y314,0.0003189944136043138
314,y315,0.00037805091733735636
315,y316,0.00047182795519565783
316,y317,0.0004925235324139414
317,y318,0.0003582680437758104
318,y319,0.0003442194541486466
319,y320,0.00024744687845267845
320,y321,0.0028284840091206943
321,y322,0.0029647275457718204
322,y323,0.0021677005999544956
323,y324,0.0022930872587013044
324,y325,0.0022727900785697542
325,y326,0.0020939805117636172
326,y327,0.002627427858259873
327,y328,0.002337369239817251
328,y329,0.0024826850287846688
329,y330,0.0024833638534687403
330,y331,0.00263260107814135
331,y332,0.002687503993481899
332,y333,0.002337461981423378
333,y334,0.001932633102745871
334,y335,0.002492214909041343
335,y336,0.0022778427065192437
336,y337,0.002259483192729242
337,y338,0.0021800976124023296
338,y339,0.0022395347120662645
339,y340,0.0030872471784688877
340,y341,0.002775270678546019
341,y342,0.002990322995075379
342,y343,0.002553183866535874
343,y344,0.0029744318909541725
344,y345,0.002698322570349962
345,y346,0.0023078286758101275
346,y347,0.0023676154474215217
347,y348,0.00374820862113081
348,y349,0.004392545256406134
349,y350,0.0032441891248855513
350,y351,0.0027653148331388032
351,y352,0.0030338490613723767
352,y353,0.0027648828574411673
353,y354,0.0022848759176178363
354,y355,0.0021519495401898124
355,y356,0.0030316377872958676
356,y357,0.002532258507387084
357,y358,0.002912144104156342
358,y359,0.0019804972028410407
359,y360,0.0012880549629139528
360,y361,0.0009538122898793687
361,y362,0.0009141422409996868
362,y363,0.001074621266818903
363,y364,0.0007471185044199839
364,y365,0.001426810074761356
365,y366,0.001022079522279283
366,y367,0.0010699890190127518
367,y368,0.0012418291122606791
368,y369,0.0009216407256432255
369,y370,0.0007336303627130672
370,y371,0.0005725829985229614
371,y372,0.0004723917766391517
372,y373,0.00047513225795420717
373,y374,0.0005950714483319913
374,y375,0.0004747552572332361
375,y376,0.0008155595436010529
376,y377,0.00040451851230297015
377,y378,0.0006708313490528943
378,y379,0.0005609166740057199
379,y380,0.00047561789935973936
380,y381,0.00035671335269619623
381,y382,0.0002124050716283886
382,y383,0.00023930790811221446
383,y384,0.0003101800548125817
384,y385,0.0031570556008314534
